Code Examen;Nom Examen;Enseignants;Date;Heure Début;Heure Fin
MATH101;Mathématiques I;prof.dupont@univ.be,prof.martin@univ.be;2025-01-15;09:00;12:00
PHYS201;Physique II;prof.bernard@univ.be;2025-01-16;14:00;17:00
CHEM301;Chimie organique;prof.durand@univ.be,prof.petit@univ.be,prof.robert@univ.be;2025-01-17;09:00;11:00
INFO102;Informatique de base;prof.richard@univ.be;2025-01-18;10:00;12:00
BIO150;Biologie générale;prof.simon@univ.be;2025-01-19;08:30;11:30
ECON201;Économie politique;prof.laurent@univ.be,prof.michel@univ.be;2025-01-20;13:00;16:00
HIST101;Histoire contemporaine;prof.thomas@univ.be;2025-01-22;09:00;12:00
LANG201;Linguistique appliquée;prof.garcia@univ.be;2025-01-23;14:00;16:00
STAT301;Statistiques avancées;prof.martinez@univ.be,prof.lopez@univ.be;2025-01-24;09:00;12:00
PSYCH101;Psychologie générale;prof.wilson@univ.be;2025-01-25;10:00;13:00
